Frequency,Depth,Pitch,Speed,Behavioral State,Normalized Depth %,Individual,Species,Species_Num,Length ,Efficiency,Thrust Power,Drag Coefficient,Reynolds Number
0.43478,40.864,-4.8811,2.2347,,,6,Minke ,1,8.6209,0.86517,4150.3,0.024649,18454000
0.32258,42.722,-9.8692,2.0782,,,6,Minke ,1,8.6209,0.90208,1911.9,0.014118,17161000
0.3125,41.715,4.0686,1.9724,,,6,Minke ,1,8.6209,0.89924,1724.2,0.014893,16288000
0.47619,45.61,-2.4925,2.6366,,,6,Minke ,1,8.6209,0.8757,5776.3,0.020888,21772000
0.20833,44.352,-3.2592,2.1715,,,6,Minke ,1,8.6209,0.9523,629.78,0.0040769,17931000
0.47619,43.146,-3.3581,2.1141,,,6,Minke ,1,8.6209,0.83992,4882.2,0.034249,17457000
0.38462,41.442,-2.5265,1.8384,,,6,Minke ,1,8.6209,0.85162,2739.4,0.029223,15181000
0.43478,41.798,-3.6085,2.3475,,,6,Minke ,1,8.6209,0.87233,4312.7,0.022097,19385000
0.38462,43.131,-15.273,2.3562,,,6,Minke ,1,8.6209,0.89368,3194.5,0.016187,19456000
0.41667,46.183,-1.7628,2.6426,,,6,Minke ,1,8.6209,0.89937,4111.4,0.014767,21822000
0.35714,44.751,13.917,2.2213,,,6,Minke ,1,8.6209,0.89656,2570.3,0.015543,18343000
0.35714,43.36,10.224,2.3583,,,6,Minke ,1,8.6209,0.90723,2581.4,0.013046,19474000
0.37037,40.251,2.1988,1.953,,,6,Minke ,1,8.6209,0.86882,2618.7,0.023302,16127000
0.4,44.707,-3.6795,1.8733,,,6,Minke ,1,8.6209,0.84793,3034,0.030593,15469000
0.43478,45.151,-4.7895,2.1719,,,6,Minke ,1,8.6209,0.85873,4093.7,0.026485,17935000
0.35714,41.079,27.332,2.2787,,,6,Minke ,1,8.6209,0.90182,2563.8,0.014363,18816000
0.35714,38.002,26.02,2.4316,,,6,Minke ,1,8.6209,0.9127,2582.2,0.011905,20079000
0.34483,29.279,34.292,2.1678,,,6,Minke ,1,8.6209,0.89913,2305.2,0.015,17900000
0.32258,25.647,33.337,2.2948,,,6,Minke ,1,8.6209,0.9205,1892,0.010377,18950000
0.34483,55.554,33.214,1.9103,,,6,Minke ,1,8.6209,0.87572,2194.8,0.020869,15774000
0.32258,52.479,30.357,2.1708,,,6,Minke ,1,8.6209,0.91004,1911.6,0.012387,17925000
0.43478,50.001,16.632,2.4816,,,6,Minke ,1,8.6209,0.88178,4455.9,0.019327,20492000
0.34483,43.023,3.0427,2.1126,,,6,Minke ,1,8.6209,0.89368,2302.3,0.016185,17445000
0.27027,45.032,-1.3044,1.7642,,,6,Minke ,1,8.6209,0.90476,1123.2,0.013558,14568000
0.34483,44.963,1.6372,2.1158,,,6,Minke ,1,8.6209,0.89372,2306.6,0.016142,17471000
0.32258,43.259,-3.9891,2.0914,,,6,Minke ,1,8.6209,0.90459,1893.8,0.013722,17270000
